edge index,traverse frequency,avg traverse time(s),geometry,points sequence
8752,53,51.81818181818182,"LINESTRING (-8.6103531 41.1462224, -8.6102893 41.1462586, -8.6097629 41.1465904, -8.6096241 41.1466801, -8.6094973 41.146735, -8.6093182 41.146757, -8.6090744 41.1467864, -8.6090354 41.1467951, -8.609007 41.1468128, -8.6089444 41.1469041, -8.6087189 41.1472889, -8.6086641 41.1473966)","[[-8.6103531, 41.1462224], [-8.6102893, 41.1462586], [-8.6097629, 41.1465904], [-8.6096241, 41.1466801], [-8.6094973, 41.146735], [-8.6093182, 41.146757], [-8.6090744, 41.1467864], [-8.6090354, 41.1467951], [-8.609007, 41.1468128], [-8.6089444, 41.1469041], [-8.6087189, 41.1472889], [-8.6086641, 41.1473966]]"
941,26,15.75,"LINESTRING (-8.6086641 41.1473966, -8.6086481 41.1474231, -8.6086068 41.1474915, -8.6084369 41.1477731)","[[-8.6086641, 41.1473966], [-8.6086481, 41.1474231], [-8.6086068, 41.1474915], [-8.6084369, 41.1477731]]"
1052,25,22.105263157894736,"LINESTRING (-8.6084369 41.1477731, -8.6081345 41.1482742)","[[-8.6084369, 41.1477731], [-8.6081345, 41.1482742]]"
336,6,15.0,"LINESTRING (-8.5823907 41.1805609, -8.5823595 41.1805399, -8.5823313 41.1805165, -8.5821775 41.1803973)","[[-8.5823907, 41.1805609], [-8.5823595, 41.1805399], [-8.5823313, 41.1805165], [-8.5821775, 41.1803973]]"
648,6,15.0,"LINESTRING (-8.5821775 41.1803973, -8.5821614 41.180354, -8.5821307 41.1803155)","[[-8.5821775, 41.1803973], [-8.5821614, 41.180354], [-8.5821307, 41.1803155]]"
4840,4,15.0,"LINESTRING (-8.5821307 41.1803155, -8.5821696 41.180179, -8.582383 41.1795489)","[[-8.5821307, 41.1803155], [-8.5821696, 41.180179], [-8.582383, 41.1795489]]"
6928,3,15.0,"LINESTRING (-8.582383 41.1795489, -8.5824257 41.1794192)","[[-8.582383, 41.1795489], [-8.5824257, 41.1794192]]"
6920,3,15.0,"LINESTRING (-8.5824257 41.1794192, -8.5825385 41.1789475, -8.5825509 41.1788928, -8.582531 41.1787347)","[[-8.5824257, 41.1794192], [-8.5825385, 41.1789475], [-8.5825509, 41.1788928], [-8.582531, 41.1787347]]"
6919,3,15.0,"LINESTRING (-8.582531 41.1787347, -8.5825724 41.1785832, -8.5827491 41.1780689)","[[-8.582531, 41.1787347], [-8.5825724, 41.1785832], [-8.5827491, 41.1780689]]"
8594,6,15.0,"LINESTRING (-8.5827491 41.1780689, -8.5828188 41.1780228, -8.5828872 41.1778242, -8.5829006 41.1777116, -8.5829121 41.1776376)","[[-8.5827491, 41.1780689], [-8.5828188, 41.1780228], [-8.5828872, 41.1778242], [-8.5829006, 41.1777116], [-8.5829121, 41.1776376]]"
446,6,15.0,"LINESTRING (-8.5829121 41.1776376, -8.5830282 41.1774087, -8.5840446 41.1754051)","[[-8.5829121, 41.1776376], [-8.5830282, 41.1774087], [-8.5840446, 41.1754051]]"
6913,6,15.0,"LINESTRING (-8.5840446 41.1754051, -8.5841263 41.1753548, -8.5841772 41.1752539, -8.5841826 41.1751469)","[[-8.5840446, 41.1754051], [-8.5841263, 41.1753548], [-8.5841772, 41.1752539], [-8.5841826, 41.1751469]]"
3083,10,15.0,"LINESTRING (-8.5841826 41.1751469, -8.5842302 41.1750508, -8.5842576 41.1749955, -8.5843382 41.1748326, -8.5845113 41.1744827, -8.5845737 41.1743566)","[[-8.5841826, 41.1751469], [-8.5842302, 41.1750508], [-8.5842576, 41.1749955], [-8.5843382, 41.1748326], [-8.5845113, 41.1744827], [-8.5845737, 41.1743566]]"
451,4,15.0,"LINESTRING (-8.5845737 41.1743566, -8.5844098 41.174305, -8.5841489 41.1742229, -8.5837551 41.1740989)","[[-8.5845737, 41.1743566], [-8.5844098, 41.174305], [-8.5841489, 41.1742229], [-8.5837551, 41.1740989]]"
4824,2,15.0,"LINESTRING (-8.5837551 41.1740989, -8.5836288 41.174063, -8.5834872 41.1740228)","[[-8.5837551, 41.1740989], [-8.5836288, 41.174063], [-8.5834872, 41.1740228]]"
1177,2,15.0,"LINESTRING (-8.5834872 41.1740228, -8.5835239 41.1739554, -8.5836311 41.1737583)","[[-8.5834872, 41.1740228], [-8.5835239, 41.1739554], [-8.5836311, 41.1737583]]"
1232,2,15.0,"LINESTRING (-8.5836311 41.1737583, -8.5841719 41.1726719)","[[-8.5836311, 41.1737583], [-8.5841719, 41.1726719]]"
1209,2,15.0,"LINESTRING (-8.5841719 41.1726719, -8.5842969 41.1724402)","[[-8.5841719, 41.1726719], [-8.5842969, 41.1724402]]"
1187,2,15.0,"LINESTRING (-8.5842969 41.1724402, -8.5844178 41.1722025)","[[-8.5842969, 41.1724402], [-8.5844178, 41.1722025]]"
1206,1,,"LINESTRING (-8.5844178 41.1722025, -8.5837966 41.1720283)","[[-8.5844178, 41.1722025], [-8.5837966, 41.1720283]]"
1208,1,,"LINESTRING (-8.5837966 41.1720283, -8.5835548 41.1724894)","[[-8.5837966, 41.1720283], [-8.5835548, 41.1724894]]"
