source;target;next_n;prev_n;next_e;distance
14;24;16;25;13;0.0149815
14;0;16;12;13;0.0127487
14;12;16;13;13;0.0126594
14;13;16;3;13;0.0120033
14;3;16;2;13;0.0118125
14;8;16;7;13;0.0136226
14;25;16;7;13;0.0148067
14;2;16;6;13;0.0107695
14;7;16;5;13;0.00898253
14;6;16;5;13;0.00868702
14;1;16;5;13;0.00845451
14;5;16;11;13;0.00821081
14;15;15;14;12;0.000774217
14;16;16;14;13;0.00121985
14;17;17;14;14;0.000433175
14;18;16;16;13;0.00221571
14;19;16;16;13;0.00157223
14;21;16;18;13;0.00262577
14;20;16;21;13;0.00282018
14;9;16;21;13;0.00403478
14;22;16;20;13;0.00447415
14;10;16;9;13;0.00440286
14;23;16;11;13;0.00753725
14;11;16;9;13;0.00718001
6;17;2;14;42;0.0153977
6;15;2;14;42;0.0157387
6;11;2;9;42;0.0171073
6;10;2;9;42;0.0143301
6;19;2;16;42;0.0140971
6;14;2;16;42;0.0149645
6;24;2;25;42;0.0135831
6;16;2;18;42;0.0137447
6;9;2;21;42;0.0139621
6;18;2;21;42;0.0129631
6;22;2;20;42;0.0140126
6;21;2;20;42;0.0125531
6;2;2;6;42;0.00208249
6;3;2;2;42;0.00312549
6;13;2;3;42;0.00331625
6;0;2;12;42;0.00406171
6;12;2;13;42;0.00397235
6;25;2;7;42;0.0134083
6;1;2;0;42;0.00656876
6;5;2;1;42;0.00681246
6;23;2;1;42;0.00781603
6;7;2;5;42;0.00758418
6;20;2;23;42;0.0123586
6;8;2;7;42;0.0122242
16;24;18;25;16;0.0137616
16;0;18;12;16;0.0115289
16;12;18;13;16;0.0114395
16;13;18;3;16;0.0107834
16;3;18;2;16;0.0105927
16;8;18;7;16;0.0124027
16;25;18;7;16;0.0135868
16;2;18;6;16;0.00954966
16;7;18;5;16;0.00776269
16;6;18;5;16;0.00746717
16;1;18;5;16;0.00723466
16;5;18;11;16;0.00699096
16;14;14;16;15;0.00121985
16;18;18;16;16;0.000995866
16;19;19;16;17;0.000352385
16;21;18;18;16;0.00140592
16;15;14;14;15;0.00199406
16;17;14;14;15;0.00165302
16;20;18;21;16;0.00160034
16;9;18;21;16;0.00281493
16;22;18;20;16;0.0032543
16;10;18;9;16;0.00318301
16;23;18;11;16;0.0063174
16;11;18;9;16;0.00596017
20;24;21;25;18;0.0125501
20;0;21;12;18;0.0103174
20;12;21;13;18;0.010228
20;13;21;3;18;0.00957191
20;3;21;2;18;0.00938115
20;8;21;7;18;0.0111912
20;25;21;7;18;0.0123753
20;2;21;6;18;0.00833815
20;7;21;5;18;0.00655117
20;6;21;5;18;0.00625566
20;1;21;5;18;0.00602315
20;5;21;11;18;0.00577945
20;21;21;20;18;0.000194412
20;22;22;20;19;0.00165397
20;9;21;21;18;0.00160342
20;18;21;21;18;0.00060447
20;16;21;18;18;0.00138603
20;14;21;16;18;0.00260587
20;19;21;16;18;0.00173841
20;10;21;9;18;0.0019715
20;23;21;11;18;0.00510589
20;11;21;9;18;0.00474866
20;15;21;14;18;0.00338009
20;17;21;14;18;0.00303905
3;17;13;14;11;0.0122722
3;15;13;14;11;0.0126132
3;11;13;9;11;0.0139818
3;10;13;9;11;0.0112047
3;19;13;16;11;0.0109716
3;14;13;16;11;0.011839
3;24;13;25;11;0.0104576
3;16;13;18;11;0.0106192
3;9;13;21;11;0.0108366
3;18;13;21;11;0.00983762
3;22;13;20;11;0.0108871
3;21;13;20;11;0.00942757
3;13;13;3;11;0.000190761
3;0;13;12;11;0.00093622
3;12;13;13;11;0.00084686
